date,home_team,away_team,FTHG_RA,FTAG_RA,HTHG_RA,HTAG_RA,HS_RA,AS_RA,HST_RA,AST_RA,HC_RA,AC_RA,HR_RA,AR_RA,B365H_RA,B365A_RA,BWH_RA,BWA_RA,PSH_RA,PSA_RA,WHH_RA,WHA_RA,MaxH_RA,MaxA_RA,AvgH_RA,AvgA_RA,B365AHH_RA,B365AHA_RA,PAHH_RA,PAHA_RA,MaxAHH_RA,MaxAHA_RA,AvgAHH_RA,AvgAHA_RA,B365CH_RA,B365CA_RA,BWCH_RA,BWCA_RA,PSCH_RA,PSCA_RA,WHCH_RA,WHCA_RA,MaxCH_RA,MaxCA_RA,AvgCH_RA,AvgCA_RA,B365CAHH_RA,B365CAHA_RA,PCAHH_RA,PCAHA_RA,MaxCAHH_RA,MaxCAHA_RA,AvgCAHH_RA,AvgCAHA_RA,B365D_RA_HomeTeam,B365D_RA_AwayTeam,BWD_RA_HomeTeam,BWD_RA_AwayTeam,PSD_RA_HomeTeam,PSD_RA_AwayTeam,WHD_RA_HomeTeam,WHD_RA_AwayTeam,MaxD_RA_HomeTeam,MaxD_RA_AwayTeam,AvgD_RA_HomeTeam,AvgD_RA_AwayTeam,B365CD_RA_HomeTeam,B365CD_RA_AwayTeam,BWCD_RA_HomeTeam,BWCD_RA_AwayTeam,PSCD_RA_HomeTeam,PSCD_RA_AwayTeam,WHCD_RA_HomeTeam,WHCD_RA_AwayTeam,MaxCD_RA_HomeTeam,MaxCD_RA_AwayTeam,AvgCD_RA_HomeTeam,AvgCD_RA_AwayTeam,FTR
19/10/2024 17:30,Bournemouth,Arsenal,1.2,2.2,0.6,1,17.2,17.6,5.6,7.2,7,8.2,0,0.4,3.75,2.088,3.74,2.108,3.842,2.102,3.664,2.094,3.998,2.178,3.818,2.104,1.876,1.946,1.864,1.948,1.892,1.97,1.848,1.924,3.786,2.268,3.696,2.212,3.996,2.254,3.814,2.244,4.114,2.366,3.896,2.252,1.984,1.922,1.974,1.916,2.064,1.942,1.984,1.892,4.26,5.92,4.34,6.01,4.342,6.176,4.34,5.62,4.532,6.46,4.324,5.978,4.346,5.43,4.37,5.5,4.518,5.522,4.34,5.25,4.668,5.94,4.452,5.516,H
20/10/2024 14:00,Wolves,Man City,1.4,2.2,1,1.4,11.6,22,4.2,7.8,3.4,9,0,0,4.75,1.442,4.66,1.446,4.818,1.444,4.78,1.46,5.014,1.478,4.776,1.446,1.962,1.988,1.976,1.986,2,2.018,1.946,1.958,4.69,1.448,4.82,1.47,4.992,1.476,5.16,1.468,5.354,1.5,4.976,1.46,1.924,1.998,1.934,1.994,1.984,2.014,1.928,1.938,4.15,5.686,4.12,5.536,4.226,5.884,4.12,5.266,4.362,6.21,4.186,5.726,4.07,5.42,4.22,5.29,4.24,5.372,4.196,5.1,4.4,5.72,4.216,5.392,A
20/10/2024 16:30,Liverpool,Chelsea,1.8,2,1.4,1.4,14,14.4,6.2,6,6,6.2,0,0,1.44,1.752,1.452,1.776,1.434,1.786,1.444,1.8,1.472,1.822,1.44,1.782,1.93,2.018,1.92,2.034,1.968,2.05,1.914,2,1.482,1.806,1.494,1.83,1.498,1.85,1.482,1.82,1.526,1.874,1.486,1.822,1.902,1.992,1.906,1.994,1.916,2.01,1.866,1.95,5.44,4.146,5.49,4.16,5.648,4.282,5.42,4.136,5.92,4.394,5.548,4.242,5.32,4.106,5.4,4.09,5.624,4.174,5.34,4.1,5.828,4.322,5.5,4.158,H
21/10/2024 20:00,Nott'm Forest,Crystal Palace,1,0.8,0.4,0.2,10.4,12.8,4.2,4.2,3.8,5,0.4,0,5.526,3.626,5.424,3.584,5.586,3.734,5.686,3.726,5.872,3.84,5.472,3.696,1.926,1.952,1.934,1.964,1.974,1.994,1.916,1.942,5.266,3.35,5.09,3.342,5.678,3.472,5.78,3.55,5.868,3.602,5.44,3.434,1.906,1.934,1.914,1.934,1.942,1.99,1.886,1.928,4.35,3.976,4.46,4.04,4.594,4.07,4.34,3.946,4.784,4.244,4.518,4.06,4.23,3.796,4.3,3.82,4.498,3.852,4.26,3.8,4.566,4.032,4.376,3.86,H
25/10/2024 20:00,Leicester,Nott'm Forest,1.8,1,0.4,0.2,10,11.2,3,4.4,2.8,3.6,0,0.4,5.81,5.586,5.56,5.478,5.71,5.664,5.84,5.752,6.544,5.934,5.858,5.538,1.87,1.932,1.882,1.942,1.912,1.974,1.87,1.914,5.42,5.336,5.71,5.16,6.428,5.754,6.28,5.856,6.46,5.942,5.97,5.512,1.976,1.914,1.97,1.92,2.002,1.952,1.944,1.892,4.53,4.31,4.49,4.39,4.598,4.51,4.34,4.27,4.828,4.732,4.52,4.448,4.48,4.17,4.34,4.22,4.33,4.418,4.34,4.2,4.622,4.504,4.388,4.306,A
26/10/2024 15:00,Man City,Southampton,2,1,1.2,0.6,21.8,9.6,7.6,3.8,10.4,3.4,0,0.4,1.432,6.21,1.432,6.22,1.434,6.65,1.446,6.626,1.464,7.152,1.432,6.536,1.956,1.994,1.954,2.004,1.99,2.046,1.926,1.972,1.434,5.62,1.462,5.76,1.47,6.87,1.454,6.28,1.486,6.948,1.45,6.048,2.024,1.98,2.026,2.02,2.042,2.044,1.964,1.974,5.786,4.82,5.636,4.96,5.94,4.998,5.366,4.72,6.25,5.212,5.798,4.918,5.52,4.586,5.39,4.68,5.414,4.794,5.2,4.42,5.84,4.984,5.46,4.708,H
26/10/2024 15:00,Brighton,Wolves,1.6,1.4,1,1,14.2,10,4.6,4,5.6,3,0,0,2.766,5.61,2.802,5.76,2.798,5.878,2.786,5.86,3,6.216,2.8,5.822,1.968,1.992,1.974,2.004,2.008,2.034,1.946,1.976,2.93,5.65,2.98,5.58,3.026,5.832,3.05,6.1,3.178,6.4,3.014,5.89,1.944,1.91,1.946,1.92,1.992,1.984,1.924,1.928,4.13,4.61,4.18,4.55,4.248,4.67,4.16,4.5,4.4,4.81,4.222,4.624,4.11,4.45,4.06,4.6,4.132,4.592,4.09,4.596,4.28,4.86,4.128,4.59,D
26/10/2024 15:00,Aston Villa,Bournemouth,2.2,1,0.8,0.6,11.6,16.4,4.2,5,5.8,7.6,0.2,0,1.984,4.24,2.006,4.18,2.022,4.32,2.018,4.144,2.062,4.49,2.014,4.288,1.878,1.906,1.892,1.896,1.916,1.924,1.874,1.876,2.064,4.266,2.072,4.156,2.132,4.552,2.068,4.244,2.154,4.684,2.09,4.38,1.88,1.952,1.92,1.948,1.948,2.028,1.872,1.95,3.88,4.36,3.96,4.48,4.012,4.492,3.92,4.46,4.19,4.678,3.992,4.462,3.71,4.406,3.8,4.43,3.82,4.57,3.816,4.42,3.968,4.728,3.818,4.508,D
26/10/2024 15:00,Brentford,Ipswich,1.8,0.8,1.6,0.4,9.8,11.2,5.6,3.2,5.2,6.4,0,0,5.25,4.282,5.64,4.23,5.78,4.464,5.87,4.386,6.352,4.608,5.8,4.372,1.944,1.932,1.96,1.944,2.006,1.968,1.94,1.918,6.06,3.812,5.35,3.75,5.888,3.882,5.97,3.996,6.426,4.116,5.808,3.888,1.972,1.926,1.978,1.966,2.028,2.002,1.956,1.942,4.76,3.87,4.78,3.97,4.964,3.97,4.68,3.92,5.254,4.14,4.892,3.966,4.84,3.77,4.74,3.75,4.776,3.79,4.66,3.74,5.106,3.918,4.814,3.788,H
26/10/2024 17:30,Everton,Fulham,1.4,1.6,1,1,9.8,15.6,3.8,5.2,3.2,4.6,0,0.2,3.656,4.066,3.53,4.334,3.674,4.288,3.62,4.576,3.756,4.646,3.61,4.38,1.978,1.964,1.97,1.962,2.002,1.996,1.96,1.938,3.61,4.1,3.58,4.21,3.738,4.446,3.6,4.34,3.874,4.65,3.656,4.332,1.976,1.992,1.982,2.006,2.01,2.042,1.956,1.98,3.56,4.09,3.66,4.15,3.65,4.208,3.68,3.94,3.822,4.408,3.67,4.136,3.52,3.94,3.57,3.97,3.614,4.024,3.58,3.92,3.76,4.118,3.59,3.982,D
