Average_goals_scored_last10,Average_HT_goals_scored_last10,Average_shots_last10,Average_shots_on_target_last10,Average_fouls_last10,Average_corners_last10,Average_yellow_cards_last10,Average_red_cards_last10,Average_goals_conceded_last10,Average_HT_goals_conceded_last10,Average_shots_conceded_last10,Average_shots_on_target_conceded_last10,Average_fouls_conceded_last10,Average_corners_conceded_last10,Average_yellow_cards_conceded_last10,Average_red_cards_conceded_last10,Average_B365Odds_last10,Average_B365Odds_Against_last10,Average_B365DrawOdds_last10,Average_BWOdds_last10,Average_BWOdds_against_last10,Average_BWDrawOdds_last10,Average_WHOdds_last10,Average_WHOdds_Against_last10
1.1,0.3,15.5,4.4,10.0,5.2,1.9,0.0,4.3759999999999994,4.215,4.368,4.24,4.361,4.15,2.0,1.1,17.0,6.4,11.8,5.8,1.5,0.0,2.3,2.309
1.9,0.7,10.6,4.2,12.4,3.0,1.4,0.1,3.2409999999999997,3.7949999999999995,3.218,3.785,3.2120000000000006,3.7649999999999997,1.7,0.9,12.5,4.3,11.3,5.8,2.4,0.1,2.4509999999999996,2.4539999999999997
3.0,1.1,18.1,7.6,11.6,6.8,2.1,0.1,1.638,5.335,1.6469999999999998,5.598,1.6420000000000001,5.343,1.4,0.8,9.8,3.2,10.1,4.4,2.1,0.0,7.75,7.625
1.6,0.6,12.8,5.3,9.4,5.4,2.2,0.1,3.534,4.223000000000001,3.757,4.228,3.657,4.1850000000000005,1.3,0.3,11.0,4.4,10.9,4.5,1.6,0.2,3.0319999999999996,2.975
1.3,0.5,14.6,5.0,12.9,4.5,1.8,0.1,2.9810000000000003,4.083,2.939,4.15,3.029,4.0649999999999995,1.6,0.5,12.8,4.2,11.5,6.5,2.3,0.0,3.3310000000000004,3.3279999999999994
0.6,0.3,8.4,2.5,13.2,4.3,2.7,0.1,6.046,4.529999999999999,5.92,4.668000000000001,5.912,4.515000000000001,2.0,1.3,18.6,6.9,14.2,6.6,1.8,0.0,1.674,1.688
1.2,0.7,15.3,4.7,8.3,6.7,1.9,0.1,1.737,4.49,1.739,4.623,1.762,4.412999999999999,1.7,0.7,11.3,4.6,10.9,3.7,2.3,0.0,5.545,5.543
1.4,0.7,14.3,5.3,11.3,4.7,2.3,0.1,3.7350000000000003,3.78,3.66,3.793,3.6979999999999995,3.7449999999999997,1.6,0.7,12.3,4.2,11.4,6.5,1.8,0.1,2.434,2.4650000000000003
1.8,0.7,17.4,6.3,12.5,6.1,2.0,0.0,2.831,3.7600000000000002,2.816,3.8200000000000003,2.811,3.7629999999999995,1.2,0.5,13.6,4.6,9.5,5.6,1.9,0.1,2.827,2.774
1.2,0.8,13.2,4.0,11.3,7.7,1.8,0.1,3.0980000000000003,4.12,3.0650000000000004,4.14,3.135,4.08,2.0,0.7,13.7,5.0,13.5,3.8,1.9,0.0,3.21,3.247
