date,team,home_away,GoalsScored,HTGoalsScored,Shots,ShotsOnTarget,Fouls,Corners,YellowCards,RedCards,B365Odds,B365DrawOdds,BWOdds,BWDrawOdds,WHOdds,WHDrawOdds,FullTimeResult,GoalsConceded,HTGoalsConceded,shotsConceded,shotsOnTargetConceded,foulsConceded,cornersConceded,yellowCardsConceded,redCardsConceded,B365OddsAgainst,BWOddsAgainst,WHOddsAgainst
2008-08-16 12:00:00,Blackburn,A,3.0,1.0,15.0,11.0,9.0,5.0,2.0,0.0,4.0,3.3,4.0,3.25,3.5,3.1,A,2.0,1.0,10.0,5.0,11.0,3.0,2.0,0.0,2.0,1.85,1.95
2008-08-16 12:00:00,Stoke,A,1.0,0.0,8.0,2.0,12.0,3.0,2.0,0.0,4.5,3.5,4.4,3.3,4.0,3.1,H,3.0,3.0,14.0,8.0,13.0,4.0,1.0,0.0,1.83,1.75,1.8
2008-08-16 12:00:00,Fulham,A,1.0,1.0,12.0,6.0,9.0,6.0,0.0,0.0,2.8,3.2,2.65,3.15,2.62,2.9,H,2.0,1.0,11.0,6.0,10.0,5.0,3.0,0.0,2.6,2.45,2.5
2008-08-16 12:00:00,Tottenham,A,1.0,0.0,8.0,5.0,12.0,9.0,2.0,0.0,2.25,3.4,2.3,3.2,2.15,3.2,H,2.0,0.0,14.0,10.0,11.0,7.0,1.0,0.0,3.2,2.8,2.9
2008-08-16 12:00:00,Liverpool,A,1.0,0.0,14.0,8.0,12.0,8.0,2.0,0.0,1.67,3.6,1.67,3.35,1.57,3.3,A,0.0,0.0,6.0,3.0,13.0,1.0,0.0,0.0,5.5,5.0,5.5
2008-08-16 12:00:00,Wigan,A,1.0,0.0,22.0,9.0,11.0,10.0,1.0,0.0,4.2,3.4,3.8,3.2,3.75,3.2,H,2.0,2.0,15.0,8.0,14.0,6.0,2.0,0.0,1.91,1.9,1.83
2008-05-11 12:00:00,Man United,A,2.0,1.0,11.0,6.0,5.0,12.0,2.0,0.0,1.22,6.5,1.2,5.25,1.2,5.5,A,0.0,0.0,15.0,6.0,10.0,5.0,3.0,0.0,12.0,13.0,9.5
2008-05-11 12:00:00,Aston Villa,A,2.0,1.0,13.0,8.0,21.0,8.0,2.0,0.0,2.2,3.5,2.25,3.15,2.1,3.4,D,2.0,1.0,16.0,8.0,9.0,7.0,2.0,0.0,3.2,2.95,2.8
2008-05-11 12:00:00,Liverpool,A,2.0,0.0,18.0,12.0,9.0,4.0,1.0,0.0,2.62,3.4,2.5,3.15,2.5,3.1,A,0.0,0.0,6.0,3.0,11.0,8.0,1.0,0.0,2.62,2.6,2.5
2008-05-11 12:00:00,Arsenal,A,1.0,1.0,12.0,8.0,12.0,4.0,1.0,0.0,1.8,3.75,1.7,3.6,1.7,3.4,A,0.0,0.0,13.0,5.0,14.0,3.0,1.0,0.0,4.33,4.25,4.2
2008-05-11 12:00:00,Fulham,A,1.0,0.0,7.0,4.0,11.0,6.0,0.0,0.0,2.1,3.6,2.05,3.25,2.1,3.4,A,0.0,0.0,15.0,10.0,13.0,5.0,0.0,0.0,3.3,3.15,2.8
2008-05-11 12:00:00,Man City,A,1.0,0.0,8.0,2.0,9.0,0.0,1.0,1.0,3.6,3.3,3.5,3.15,3.1,3.2,H,8.0,2.0,19.0,15.0,10.0,7.0,2.0,0.0,2.1,2.0,2.05
2008-05-11 12:00:00,Newcastle,A,1.0,0.0,3.0,2.0,12.0,2.0,2.0,0.0,4.75,3.5,4.45,3.3,4.0,2.88,H,3.0,1.0,20.0,11.0,11.0,6.0,0.0,0.0,1.8,1.75,1.91
2008-05-11 12:00:00,Reading,A,4.0,1.0,11.0,7.0,13.0,0.0,1.0,0.0,1.57,4.2,1.55,3.6,1.5,3.8,A,0.0,0.0,6.0,2.0,17.0,2.0,0.0,0.0,5.5,5.65,5.0
2008-05-11 12:00:00,Bolton,A,1.0,0.0,6.0,4.0,8.0,2.0,3.0,0.0,17.0,8.0,17.0,5.75,15.0,6.0,D,1.0,0.0,19.0,12.0,12.0,9.0,1.0,0.0,1.14,1.15,1.12
2008-05-11 12:00:00,Blackburn,A,1.0,0.0,14.0,9.0,11.0,2.0,2.0,0.0,3.6,3.6,3.7,3.3,3.2,3.5,H,4.0,1.0,15.0,9.0,16.0,5.0,3.0,0.0,2.0,1.9,1.91
2008-05-05 12:00:00,Chelsea,A,2.0,0.0,18.0,9.0,15.0,6.0,2.0,0.0,1.53,4.2,1.5,3.7,1.53,3.6,A,0.0,0.0,13.0,5.0,13.0,1.0,2.0,0.0,6.0,6.15,5.0
2008-05-04 12:00:00,Everton,A,0.0,0.0,8.0,4.0,4.0,3.0,1.0,0.0,5.5,3.6,5.5,3.4,4.8,3.2,H,1.0,0.0,11.0,2.0,10.0,8.0,0.0,0.0,1.66,1.6,1.67
2008-05-04 12:00:00,Man City,A,0.0,0.0,4.0,3.0,5.0,5.0,0.0,0.0,5.5,3.6,5.0,3.4,4.5,3.5,H,1.0,0.0,23.0,10.0,9.0,12.0,0.0,0.0,1.66,1.65,1.62
2008-05-03 12:00:00,Wigan,A,2.0,0.0,9.0,5.0,8.0,2.0,1.0,0.0,7.0,3.8,6.75,3.5,5.5,3.5,A,0.0,0.0,14.0,5.0,7.0,8.0,0.0,0.0,1.53,1.5,1.53
2008-05-03 12:00:00,Derby,A,1.0,1.0,6.0,3.0,17.0,1.0,0.0,0.0,13.0,5.5,10.0,5.0,8.0,4.33,H,3.0,1.0,25.0,14.0,12.0,10.0,0.0,0.0,1.25,1.25,1.3
2008-05-03 12:00:00,Birmingham,A,0.0,0.0,2.0,0.0,12.0,8.0,5.0,0.0,3.25,3.4,3.05,3.15,2.88,3.3,H,2.0,0.0,9.0,6.0,10.0,2.0,2.0,0.0,2.2,2.2,2.1
2008-05-03 12:00:00,Sunderland,A,0.0,0.0,5.0,4.0,12.0,1.0,0.0,0.0,6.0,4.0,6.1,3.45,4.8,3.4,H,2.0,1.0,4.0,2.0,11.0,3.0,1.0,0.0,1.57,1.55,1.6
2008-05-03 12:00:00,Portsmouth,A,0.0,0.0,13.0,8.0,11.0,5.0,1.0,0.0,3.75,3.5,3.4,3.3,3.25,3.3,H,2.0,1.0,11.0,7.0,16.0,7.0,1.0,0.0,2.0,2.0,1.95
2008-05-03 12:00:00,West Ham,A,1.0,1.0,9.0,5.0,16.0,2.0,3.0,0.0,17.0,7.0,15.0,5.5,15.0,6.0,H,4.0,3.0,8.0,4.0,15.0,4.0,1.0,1.0,1.16,1.17,1.12
2008-05-03 12:00:00,Tottenham,A,1.0,1.0,13.0,7.0,7.0,1.0,0.0,0.0,3.25,3.4,3.25,3.3,3.0,3.2,A,0.0,0.0,13.0,6.0,10.0,10.0,1.0,0.0,2.2,2.05,2.1
2008-04-28 12:00:00,Arsenal,A,6.0,2.0,20.0,11.0,7.0,6.0,0.0,0.0,1.25,5.5,1.25,5.0,1.25,4.5,A,2.0,1.0,12.0,10.0,6.0,5.0,0.0,0.0,13.0,10.0,10.0
2008-04-27 12:00:00,Blackburn,A,1.0,0.0,12.0,9.0,12.0,7.0,2.0,0.0,3.6,3.3,3.25,3.15,3.0,3.2,A,0.0,0.0,15.0,6.0,20.0,8.0,2.0,0.0,2.1,2.1,2.1
2008-04-27 12:00:00,Aston Villa,A,2.0,0.0,6.0,3.0,17.0,6.0,3.0,0.0,3.25,3.3,3.25,3.15,3.0,3.2,D,2.0,0.0,13.0,7.0,10.0,9.0,3.0,0.0,2.25,2.1,2.1
2008-04-26 12:00:00,Middlesbrough,A,2.0,1.0,10.0,6.0,9.0,1.0,2.0,0.0,3.4,3.1,3.05,3.15,3.0,3.0,H,3.0,2.0,10.0,5.0,13.0,7.0,3.0,0.0,2.3,2.2,2.2
2008-04-26 12:00:00,Man United,A,1.0,0.0,7.0,6.0,16.0,3.0,4.0,0.0,3.0,3.1,2.65,3.15,2.75,3.1,H,2.0,1.0,13.0,8.0,14.0,8.0,3.0,0.0,2.5,2.45,2.3
2008-04-26 12:00:00,Fulham,A,3.0,0.0,18.0,13.0,7.0,4.0,1.0,0.0,4.5,3.5,4.6,3.25,3.6,3.3,A,2.0,2.0,10.0,5.0,9.0,3.0,0.0,0.0,1.83,1.75,1.83
2008-04-26 12:00:00,Liverpool,A,2.0,0.0,12.0,7.0,9.0,5.0,1.0,0.0,2.6,3.25,2.4,3.15,2.3,3.1,D,2.0,1.0,5.0,3.0,6.0,3.0,2.0,0.0,2.75,2.75,2.75
2008-04-26 12:00:00,Bolton,A,1.0,0.0,7.0,4.0,11.0,3.0,3.0,0.0,4.0,3.5,4.0,3.4,3.75,3.3,D,1.0,0.0,26.0,13.0,6.0,12.0,1.0,0.0,1.9,1.8,1.8
2008-04-26 12:00:00,Newcastle,A,2.0,2.0,4.0,3.0,11.0,1.0,3.0,0.0,2.87,3.3,2.8,3.15,2.62,3.1,D,2.0,2.0,18.0,11.0,13.0,6.0,2.0,0.0,2.5,2.35,2.38
2008-04-26 12:00:00,Reading,A,0.0,0.0,7.0,2.0,13.0,5.0,4.0,0.0,3.75,3.2,3.35,3.15,3.2,3.2,D,0.0,0.0,12.0,5.0,18.0,6.0,2.0,0.0,2.1,2.05,2.0
2008-04-20 12:00:00,Sunderland,A,0.0,0.0,12.0,8.0,13.0,4.0,5.0,0.0,4.5,3.5,4.4,3.3,4.0,3.0,H,2.0,2.0,8.0,4.0,8.0,4.0,0.0,0.0,1.83,1.75,1.83
2008-04-20 12:00:00,Portsmouth,A,1.0,1.0,12.0,6.0,6.0,3.0,1.0,1.0,3.0,3.3,3.15,3.15,2.75,3.2,H,3.0,2.0,16.0,10.0,7.0,6.0,1.0,0.0,2.37,2.15,2.25
2008-04-20 12:00:00,Birmingham,A,1.0,0.0,11.0,6.0,20.0,8.0,1.0,0.0,5.0,3.3,5.0,3.4,4.0,3.1,H,5.0,2.0,16.0,9.0,11.0,7.0,0.0,0.0,1.8,1.65,1.8
2008-04-19 12:00:00,Tottenham,A,1.0,1.0,15.0,12.0,9.0,6.0,1.0,0.0,2.7,3.3,2.45,3.15,2.4,3.25,D,1.0,1.0,13.0,7.0,8.0,2.0,2.0,0.0,2.62,2.65,2.5
2008-04-19 12:00:00,Derby,A,1.0,0.0,12.0,8.0,13.0,11.0,1.0,0.0,8.5,5.0,8.0,4.25,7.0,4.0,H,2.0,1.0,12.0,8.0,11.0,5.0,2.0,0.0,1.36,1.35,1.36
2008-04-19 12:00:00,Bolton,A,1.0,0.0,12.0,9.0,14.0,4.0,2.0,0.0,3.6,3.3,3.55,3.25,3.0,3.2,A,0.0,0.0,16.0,10.0,10.0,7.0,0.0,0.0,2.1,1.95,2.1
2008-04-19 12:00:00,Liverpool,A,2.0,1.0,16.0,7.0,10.0,3.0,0.0,0.0,2.2,3.25,1.9,3.4,2.0,3.4,A,0.0,0.0,10.0,6.0,9.0,3.0,1.0,0.0,3.4,3.55,3.0
2008-04-19 12:00:00,Man United,A,1.0,0.0,13.0,10.0,12.0,8.0,1.0,0.0,1.57,4.0,1.55,3.5,1.53,3.5,D,1.0,1.0,4.0,3.0,14.0,3.0,1.0,0.0,6.0,5.9,5.5
2008-04-19 12:00:00,Reading,A,0.0,0.0,4.0,2.0,15.0,4.0,3.0,0.0,10.0,5.0,9.0,5.25,8.0,4.5,H,2.0,2.0,19.0,12.0,7.0,12.0,0.0,0.0,1.33,1.25,1.29
2008-04-17 12:00:00,Chelsea,A,1.0,1.0,5.0,3.0,9.0,6.0,2.0,0.0,2.0,3.4,1.95,3.2,2.0,3.2,A,0.0,0.0,10.0,5.0,8.0,4.0,0.0,0.0,3.8,3.6,3.2
2008-04-14 12:00:00,Wigan,A,1.0,0.0,6.0,5.0,17.0,3.0,2.0,0.0,15.0,6.0,13.0,5.25,11.0,5.0,D,1.0,0.0,19.0,10.0,10.0,9.0,0.0,0.0,1.22,1.2,1.2
2008-04-13 12:00:00,Arsenal,A,1.0,0.0,18.0,11.0,7.0,5.0,6.0,0.0,4.5,3.5,4.25,3.25,3.8,3.25,H,2.0,0.0,13.0,7.0,12.0,6.0,2.0,0.0,1.83,1.8,1.8
2008-04-13 12:00:00,Blackburn,A,1.0,0.0,7.0,3.0,10.0,1.0,0.0,0.0,7.0,4.0,7.0,3.75,6.5,3.6,H,3.0,0.0,17.0,9.0,12.0,5.0,1.0,0.0,1.5,1.45,1.44
2008-04-12 12:00:00,Everton,A,1.0,0.0,13.0,6.0,6.0,1.0,1.0,0.0,2.4,3.3,2.35,3.15,2.25,3.2,D,1.0,0.0,14.0,7.0,9.0,11.0,1.0,0.0,3.0,2.8,2.75
2008-04-12 12:00:00,West Ham,A,0.0,0.0,11.0,7.0,11.0,5.0,1.0,0.0,3.5,3.4,3.25,3.15,3.2,3.2,H,1.0,0.0,12.0,9.0,12.0,12.0,1.0,0.0,2.1,2.1,2.0
2008-04-12 12:00:00,Newcastle,A,0.0,0.0,14.0,5.0,8.0,11.0,1.0,0.0,3.4,3.3,3.65,3.2,3.1,3.3,D,0.0,0.0,17.0,8.0,11.0,2.0,1.0,0.0,2.2,1.95,2.0
2008-04-12 12:00:00,Aston Villa,A,6.0,3.0,16.0,12.0,15.0,2.0,0.0,0.0,1.57,4.0,1.55,3.5,1.5,3.6,A,0.0,0.0,8.0,5.0,15.0,3.0,0.0,0.0,6.0,5.8,5.5
2008-04-12 12:00:00,Man City,A,2.0,0.0,7.0,5.0,12.0,2.0,2.0,0.0,3.4,3.3,3.05,3.15,3.1,3.2,A,1.0,0.0,12.0,7.0,13.0,6.0,3.0,0.0,2.2,2.2,2.05
2008-04-12 12:00:00,Fulham,A,2.0,1.0,16.0,8.0,5.0,7.0,1.0,0.0,4.33,3.4,4.0,3.25,4.0,3.4,A,0.0,0.0,4.0,0.0,11.0,4.0,0.0,0.0,1.9,1.85,1.73
2008-04-12 12:00:00,Middlesbrough,A,1.0,0.0,13.0,7.0,19.0,7.0,3.0,0.0,5.5,3.6,5.0,3.4,4.33,3.4,D,1.0,1.0,12.0,9.0,6.0,2.0,0.0,0.0,1.66,1.65,1.67
2008-04-08 12:00:00,Portsmouth,A,1.0,0.0,18.0,9.0,11.0,4.0,0.0,0.0,3.25,3.3,2.95,3.15,3.1,3.2,A,0.0,0.0,10.0,8.0,16.0,7.0,0.0,0.0,2.25,2.25,2.3
2008-04-06 12:00:00,Man United,A,2.0,1.0,15.0,7.0,11.0,10.0,1.0,0.0,1.4,4.5,1.4,4.0,1.4,3.75,D,2.0,1.0,12.0,7.0,20.0,4.0,3.0,0.0,8.5,7.5,7.0
2008-04-06 12:00:00,Derby,A,0.0,0.0,7.0,5.0,19.0,8.0,3.0,0.0,13.0,5.5,10.0,5.0,11.0,5.0,H,1.0,0.0,11.0,5.0,17.0,9.0,1.0,0.0,1.25,1.25,1.2
2008-04-05 12:00:00,Birmingham,A,0.0,0.0,5.0,1.0,17.0,2.0,2.0,1.0,3.6,3.3,3.6,3.2,3.2,3.0,H,2.0,1.0,15.0,8.0,11.0,2.0,1.0,0.0,2.1,1.95,2.1
2008-04-05 12:00:00,Reading,A,0.0,0.0,8.0,3.0,11.0,7.0,1.0,0.0,4.5,3.6,4.4,3.3,4.33,3.2,H,3.0,2.0,14.0,9.0,10.0,9.0,0.0,0.0,1.8,1.75,1.73
2008-04-05 12:00:00,Chelsea,A,2.0,1.0,10.0,5.0,12.0,5.0,0.0,0.0,1.72,3.6,1.75,3.3,1.73,3.2,A,0.0,0.0,14.0,7.0,6.0,7.0,1.0,0.0,5.0,4.4,4.33
2008-04-05 12:00:00,Sunderland,A,3.0,1.0,9.0,6.0,9.0,5.0,0.0,0.0,3.2,3.3,3.05,3.15,2.7,3.3,A,1.0,0.0,14.0,5.0,12.0,8.0,2.0,0.0,2.3,2.2,2.2
2008-04-05 12:00:00,Tottenham,A,1.0,1.0,11.0,8.0,4.0,1.0,1.0,0.0,2.87,3.4,2.75,3.15,2.62,3.2,D,1.0,1.0,12.0,7.0,20.0,1.0,3.0,0.0,2.4,2.4,2.3
2008-04-05 12:00:00,Bolton,A,0.0,0.0,6.0,3.0,9.0,4.0,1.0,0.0,5.5,3.6,5.5,3.4,5.0,3.3,H,4.0,1.0,10.0,6.0,15.0,5.0,2.0,0.0,1.66,1.6,1.62
2008-04-05 12:00:00,Liverpool,A,1.0,1.0,11.0,4.0,10.0,3.0,2.0,0.0,3.75,3.2,3.25,3.15,3.5,3.1,D,1.0,0.0,8.0,6.0,10.0,5.0,1.0,0.0,2.1,2.1,1.95
2008-03-30 12:00:00,Middlesbrough,A,0.0,0.0,7.0,3.0,9.0,3.0,1.0,0.0,12.0,5.0,10.0,5.0,10.0,4.5,H,1.0,1.0,16.0,6.0,11.0,8.0,1.0,0.0,1.3,1.25,1.25
