match_id,date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,WHH,WHD,WHA
4565,2016-09-18 12:00:00,Watford,Man United,3.0,1.0,1,1.0,0.0,H,M Oliver,10.0,15.0,5.0,2.0,14.0,19.0,5.0,7.0,3.0,4.0,0.0,0.0,6.0,4.2,1.62,5.5,4.0,1.62,6.0,3.6,1.62
4566,2016-09-24 12:00:00,Arsenal,Chelsea,3.0,0.0,1,3.0,0.0,H,M Oliver,14.0,9.0,5.0,2.0,9.0,11.0,9.0,1.0,0.0,2.0,0.0,0.0,2.4,3.5,3.1,2.4,3.4,3.1,2.4,3.2,3.2
4567,2016-09-24 12:00:00,Bournemouth,Everton,1.0,0.0,1,1.0,0.0,H,R Madley,12.0,13.0,1.0,2.0,10.0,14.0,5.0,3.0,2.0,2.0,0.0,0.0,3.6,3.5,2.15,3.6,3.4,2.1,3.6,3.4,2.15
4568,2016-09-24 12:00:00,Liverpool,Hull,5.0,1.0,1,3.0,0.0,H,A Marriner,32.0,2.0,12.0,1.0,8.0,8.0,13.0,2.0,1.0,2.0,0.0,1.0,1.22,7.0,15.0,1.22,6.5,13.0,1.25,6.0,13.0
4569,2016-09-24 12:00:00,Man United,Leicester,4.0,1.0,1,4.0,0.0,H,M Dean,16.0,10.0,7.0,3.0,9.0,12.0,8.0,6.0,0.0,2.0,0.0,0.0,1.73,3.9,5.25,1.67,4.0,5.5,1.7,3.75,5.5
4570,2016-09-24 12:00:00,Middlesbrough,Tottenham,1.0,2.0,3,0.0,2.0,A,G Scott,6.0,19.0,2.0,5.0,14.0,9.0,2.0,10.0,2.0,1.0,0.0,0.0,3.75,3.5,2.1,3.75,3.5,2.0,4.0,3.4,2.0
4571,2016-09-24 12:00:00,Stoke,West Brom,1.0,1.0,2,0.0,0.0,D,M Atkinson,12.0,9.0,2.0,3.0,9.0,13.0,6.0,6.0,3.0,4.0,0.0,0.0,2.38,3.3,3.3,2.3,3.2,3.3,2.3,3.3,3.3
4572,2016-09-24 12:00:00,Sunderland,Crystal Palace,2.0,3.0,3,1.0,0.0,H,A Taylor,11.0,20.0,4.0,4.0,15.0,12.0,3.0,5.0,0.0,2.0,0.0,0.0,2.88,3.25,2.7,2.8,3.2,2.6,2.8,3.2,2.7
4573,2016-09-24 12:00:00,Swansea,Man City,1.0,3.0,3,1.0,1.0,D,N Swarbrick,13.0,18.0,5.0,4.0,15.0,9.0,2.0,7.0,2.0,4.0,0.0,0.0,9.0,5.5,1.36,7.5,5.0,1.4,9.0,4.5,1.4
4574,2016-09-25 12:00:00,West Ham,Southampton,0.0,3.0,3,0.0,1.0,A,J Moss,13.0,18.0,1.0,9.0,9.0,14.0,6.0,2.0,5.0,2.0,0.0,0.0,2.8,3.3,2.75,2.8,3.3,2.7,2.8,3.2,2.7
4575,2016-09-26 12:00:00,Burnley,Watford,2.0,0.0,1,1.0,0.0,H,M Jones,13.0,12.0,4.0,3.0,11.0,15.0,7.0,6.0,1.0,3.0,0.0,0.0,2.9,3.2,2.7,2.9,3.2,2.65,2.75,3.25,2.7
4576,2016-09-30 12:00:00,Everton,Crystal Palace,1.0,1.0,2,1.0,0.0,H,J Moss,13.0,10.0,3.0,2.0,16.0,11.0,10.0,9.0,5.0,4.0,0.0,0.0,1.73,4.0,5.0,1.72,3.75,5.0,1.75,3.8,5.0
4577,2016-10-01 12:00:00,Hull,Chelsea,0.0,2.0,3,0.0,0.0,D,A Taylor,8.0,22.0,3.0,9.0,13.0,15.0,5.0,7.0,2.0,2.0,0.0,0.0,7.5,4.5,1.5,7.0,4.5,1.45,7.0,4.33,1.5
4578,2016-10-01 12:00:00,Sunderland,West Brom,1.0,1.0,2,0.0,1.0,A,S Attwell,7.0,17.0,2.0,7.0,7.0,13.0,6.0,5.0,1.0,3.0,0.0,0.0,2.5,3.25,3.2,2.45,3.1,3.1,2.5,3.1,3.2
