date,match_id,team,home_away,GoalsScored,HTGoalsScored,Shots,ShotsOnTarget,Fouls,Corners,YellowCards,RedCards,B365Odds,B365DrawOdds,BWOdds,BWDrawOdds,WHOdds,WHDrawOdds,FullTimeResult,GoalsConceded,HTGoalsConceded,shotsConceded,shotsOnTargetConceded,foulsConceded,cornersConceded,yellowCardsConceded,redCardsConceded,B365OddsAgainst,BWOddsAgainst,WHOddsAgainst
2018-03-10 12:00:00,5188,Huddersfield,H,0.0,0.0,30.0,4.0,9.0,12.0,2.0,0.0,2.54,3.1,2.5,3.1,2.5,3.1,2,0.0,0.0,0.0,0.0,9.0,0.0,3.0,1.0,3.2,3.1,3.1
2018-03-17 12:00:00,5197,Huddersfield,H,0.0,0.0,6.0,2.0,11.0,4.0,3.0,0.0,3.0,3.1,2.8,3.1,2.8,3.1,3,2.0,1.0,17.0,6.0,12.0,7.0,2.0,0.0,2.7,2.7,2.62
2018-03-31 12:00:00,5204,Huddersfield,A,0.0,0.0,4.0,0.0,10.0,3.0,4.0,0.0,5.0,3.39,5.25,3.5,5.0,3.4,1,1.0,0.0,18.0,3.0,9.0,3.0,1.0,0.0,1.75,1.75,1.75
2018-04-07 12:00:00,5211,Huddersfield,A,1.0,1.0,14.0,5.0,7.0,3.0,0.0,0.0,5.0,3.5,4.75,3.4,5.0,3.3,2,1.0,1.0,13.0,4.0,13.0,5.0,1.0,1.0,1.85,1.85,1.85
2018-04-14 12:00:00,5222,Huddersfield,H,1.0,0.0,9.0,1.0,9.0,9.0,2.0,0.0,2.62,3.25,2.6,3.1,2.62,3.1,1,0.0,0.0,4.0,2.0,8.0,6.0,2.0,0.0,3.0,2.9,2.9
2018-04-28 12:00:00,5242,Huddersfield,H,0.0,0.0,9.0,2.0,9.0,4.0,1.0,0.0,2.62,3.1,2.6,3.0,2.62,3.1,3,2.0,1.0,7.0,5.0,8.0,3.0,0.0,0.0,3.1,3.0,2.9
2018-05-06 12:00:00,5259,Huddersfield,A,0.0,0.0,5.0,3.0,4.0,1.0,3.0,0.0,34.0,13.0,29.0,12.0,26.0,9.0,2,0.0,0.0,15.0,2.0,9.0,10.0,0.0,0.0,1.08,1.07,1.11
2018-05-09 12:00:00,5261,Huddersfield,A,1.0,0.0,3.0,2.0,10.0,0.0,1.0,0.0,19.0,8.5,15.5,7.25,17.0,8.0,2,1.0,0.0,22.0,5.0,7.0,9.0,0.0,0.0,1.16,1.18,1.17
2018-05-13 12:00:00,5268,Huddersfield,H,0.0,0.0,18.0,3.0,11.0,7.0,1.0,0.0,6.0,4.33,5.5,4.33,5.5,4.2,3,1.0,1.0,9.0,4.0,7.0,4.0,0.0,0.0,1.6,1.57,1.6
2018-08-11 12:00:00,5279,Huddersfield,H,0.0,0.0,6.0,1.0,9.0,2.0,2.0,0.0,6.5,4.0,6.25,3.9,5.8,3.9,3,3.0,2.0,13.0,4.0,8.0,5.0,1.0,0.0,1.61,1.57,1.57
2018-08-19 12:00:00,5294,Huddersfield,A,1.0,1.0,5.0,1.0,4.0,3.0,2.0,0.0,26.0,13.0,31.0,12.0,29.0,12.0,1,6.0,3.0,32.0,14.0,9.0,10.0,0.0,0.0,1.1,1.07,1.06
2018-08-25 12:00:00,5298,Huddersfield,H,0.0,0.0,5.0,1.0,8.0,7.0,0.0,1.0,2.37,3.0,2.25,3.1,2.3,3.1,2,0.0,0.0,14.0,4.0,10.0,7.0,1.0,0.0,3.7,3.5,3.3
2018-09-01 12:00:00,5309,Huddersfield,A,1.0,1.0,9.0,6.0,14.0,3.0,3.0,0.0,7.5,4.2,7.5,4.0,7.5,3.8,2,1.0,1.0,11.0,1.0,13.0,4.0,3.0,0.0,1.53,1.5,1.5
